UF;Zona;Partido;G�nero;Grau de escolaridade;Faixa et�ria;Quantitativo;Porcentagem (%);qt_nome_social;qt_deficientes;Data de carga
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;1;0,0769;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;3;0,2308;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;1;0,0769;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;3;0,2;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;9;0,6;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;2;0,1333;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;1;0,0667;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO COMPLETO;35 a 44 anos;4;0,125;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO COMPLETO;45 a 59 anos;11;0,3438;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO COMPLETO;60 a 69 anos;10;0,3125;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO COMPLETO;70 a 79 anos;4;0,125;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO COMPLETO;Superior a 79 anos;3;0,0938;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO INCOMPLETO;25 a 34 anos;3;0,12;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO INCOMPLETO;35 a 44 anos;11;0,44;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;5;0,2;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO INCOMPLETO;60 a 69 anos;5;0,2;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;ENSINO M�DIO INCOMPLETO;70 a 79 anos;1;0,04;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;21 a 24 anos;1;0,0333;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;5;0,1667;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;45 a 59 anos;10;0,3333;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;8;0,2667;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;5;0,1667;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR COMPLETO;Superior a 79 anos;1;0,0333;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;2;0,0909;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;35 a 44 anos;5;0,2273;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;45 a 59 anos;7;0,3182;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;60 a 69 anos;3;0,1364;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;70 a 79 anos;4;0,1818;0;0;2024-09-16 15:01:10
RS;1;CIDADANIA;MASCULINO;SUPERIOR INCOMPLETO;Superior a 79 anos;1;0,0455;0;0;2024-09-16 15:01:10
RS;1;DC;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DC;FEMININO;ENSINO M�DIO COMPLETO;25 a 34 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DC;FEMININO;SUPERIOR COMPLETO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;ENSINO M�DIO COMPLETO;45 a 59 anos;2;1;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;ENSINO M�DIO INCOMPLETO;45 a 59 anos;2;1;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;SUPERIOR COMPLETO;35 a 44 anos;1;0,3333;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;SUPERIOR COMPLETO;60 a 69 anos;1;0,3333;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;SUPERIOR COMPLETO;70 a 79 anos;1;0,3333;0;0;2024-09-16 15:01:10
RS;1;DC;MASCULINO;SUPERIOR INCOMPLETO;25 a 34 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ANALFABETO;60 a 69 anos;1;1;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL COMPLETO;35 a 44 anos;2;0,0833;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL COMPLETO;45 a 59 anos;7;0,2917;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL COMPLETO;60 a 69 anos;7;0,2917;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL COMPLETO;70 a 79 anos;4;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL COMPLETO;Superior a 79 anos;4;0,1667;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;35 a 44 anos;5;0,0962;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;45 a 59 anos;14;0,2692;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;60 a 69 anos;11;0,2115;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;70 a 79 anos;9;0,1731;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO FUNDAMENTAL INCOMPLETO;Superior a 79 anos;13;0,25;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;25 a 34 anos;2;0,0364;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;35 a 44 anos;8;0,1455;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;45 a 59 anos;16;0,2909;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;60 a 69 anos;17;0,3091;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;70 a 79 anos;5;0,0909;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO COMPLETO;Superior a 79 anos;7;0,1273;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;21 a 24 anos;1;0,0278;0;0;2024-09-16 15:01:10
RS;1;DEM;FEMININO;ENSINO M�DIO INCOMPLETO;25 a 34 anos;3;0,0833;0;0;2024-09-16 15:01:10
